Season_EN,Season_TE,Soil_EN,Soil_TE,N,P,K,pH,Temperature,Rainfall,Humidity,Crop_EN,Crop_TE,Organic_Fertilizer_EN,Organic_Fertilizer_TE,Inorganic_Fertilizer_EN,Inorganic_Fertilizer_TE,Organic_Pesticide_EN,Organic_Pesticide_TE,Inorganic_Pesticide_EN,Inorganic_Pesticide_TE
Zaid,జైద్,Black,నల్ల మట్టి,108,30,17,5.57,30,237,76,Lemon,నిమ్మ,Farmyard Manure,పశువుల ఎరువు,Urea,యూరియా,Chili Spray,మిరప స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Red,ఎర్ర మట్టి,55,57,49,7.39,35,239,74,Lentil,పప్పు,Compost,కంపోస్ట్,DAP,డిఏపీ,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Red,ఎర్ర మట్టి,74,69,19,7.26,30,152,33,Radish,ముల్లంగి,Neem Cake,వేపపిండి,MOP,పొటాష్,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Clay,బంకమట్టి,118,96,39,6.86,30,208,85,Soybean,సోయాబీన్,Compost,కంపోస్ట్,MOP,పొటాష్,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Red,ఎర్ర మట్టి,58,86,119,8.43,29,175,78,Fenugreek,మెంతికూర,Compost,కంపోస్ట్,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Clay,బంకమట్టి,53,58,118,5.66,24,100,52,Muskmelon,ఖర్బూజ,Compost,కంపోస్ట్,NPK,ఎన్‌పీకే,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Clay,బంకమట్టి,35,51,73,7.34,39,127,86,Maize,మొక్కజొన్న,Farmyard Manure,పశువుల ఎరువు,MOP,పొటాష్,Chili Spray,మిరప స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Rabi,రబీ,Black,నల్ల మట్టి,95,91,88,5.79,29,77,41,Cabbage,క్యాబేజీ,Farmyard Manure,పశువుల ఎరువు,Urea,యూరియా,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Loamy,లోమీ,108,47,105,6.56,24,152,63,Guava,జామ,Farmyard Manure,పశువుల ఎరువు,NPK,ఎన్‌పీకే,Neem Oil,వేప నూనె,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Sandy,మణల్,32,25,90,7.51,37,155,66,Watermelon,పుచ్చకాయ,Farmyard Manure,పశువుల ఎరువు,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Black,నల్ల మట్టి,119,99,86,7.82,24,247,30,Cauliflower,కాలీఫ్లవర్,Vermicompost,వర్మి కంపోస్ట్,Urea,యూరియా,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Rabi,రబీ,Black,నల్ల మట్టి,12,52,117,6.57,21,186,47,Fenugreek,మెంతికూర,Vermicompost,వర్మి కంపోస్ట్,NPK,ఎన్‌పీకే,Chili Spray,మిరప స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Red,ఎర్ర మట్టి,89,18,47,6.07,40,190,55,Sunflower,సూర్యకాంతి,Neem Cake,వేపపిండి,Urea,యూరియా,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Clay,బంకమట్టి,66,89,70,6.38,19,118,58,Pumpkin,గుమ్మడికాయ,Neem Cake,వేపపిండి,MOP,పొటాష్,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Black,నల్ల మట్టి,27,53,56,8.48,23,196,70,Papaya,బొప్పాయి,Compost,కంపోస్ట్,Urea,యూరియా,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Loamy,లోమీ,31,93,33,6.89,20,116,45,Muskmelon,ఖర్బూజ,Compost,కంపోస్ట్,NPK,ఎన్‌పీకే,Chili Spray,మిరప స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Rabi,రబీ,Sandy,మణల్,74,55,71,6.13,29,175,88,Chilli,మిర్చి,Farmyard Manure,పశువుల ఎరువు,MOP,పొటాష్,Chili Spray,మిరప స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Sandy,మణల్,70,41,101,5.81,32,88,33,Lentil,పప్పు,Vermicompost,వర్మి కంపోస్ట్,Urea,యూరియా,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Loamy,లోమీ,102,87,98,8.23,39,92,53,Radish,ముల్లంగి,Farmyard Manure,పశువుల ఎరువు,NPK,ఎన్‌పీకే,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Sandy,మణల్,91,79,58,7.03,20,299,54,Turnip,టర్నిప్,Farmyard Manure,పశువుల ఎరువు,Urea,యూరియా,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Black,నల్ల మట్టి,104,106,34,7.7,34,111,40,Mustard,ఆవాలు,Neem Cake,వేపపిండి,NPK,ఎన్‌పీకే,Chili Spray,మిరప స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Clay,బంకమట్టి,83,86,68,6.55,31,271,56,Carrot,గాజర్,Farmyard Manure,పశువుల ఎరువు,NPK,ఎన్‌పీకే,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Black,నల్ల మట్టి,32,104,87,6.94,26,159,81,Onion,ఉల్లి,Compost,కంపోస్ట్,MOP,పొటాష్,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Rabi,రబీ,Red,ఎర్ర మట్టి,46,34,52,6.1,40,279,83,Bottle Gourd,సొరకాయ,Compost,కంపోస్ట్,Urea,యూరియా,Neem Oil,వేప నూనె,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Clay,బంకమట్టి,76,72,85,5.6,16,62,39,Millet,సజ్జ,Vermicompost,వర్మి కంపోస్ట్,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Black,నల్ల మట్టి,19,85,90,5.66,22,233,90,Drumstick,మునగ,Vermicompost,వర్మి కంపోస్ట్,MOP,పొటాష్,Chili Spray,మిరప స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Zaid,జైద్,Red,ఎర్ర మట్టి,80,47,106,7.39,33,211,83,Tomato,టమోటా,Farmyard Manure,పశువుల ఎరువు,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Sandy,మణల్,48,43,80,5.74,34,229,49,Sugarcane,చెరకు,Vermicompost,వర్మి కంపోస్ట్,Urea,యూరియా,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Sandy,మణల్,42,66,20,7.63,19,286,67,Apple,సేపు,Compost,కంపోస్ట్,NPK,ఎన్‌పీకే,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Clay,బంకమట్టి,108,81,41,7.4,19,94,52,Turnip,టర్నిప్,Farmyard Manure,పశువుల ఎరువు,Urea,యూరియా,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Black,నల్ల మట్టి,89,109,81,7.87,26,87,33,Cauliflower,కాలీఫ్లవర్,Vermicompost,వర్మి కంపోస్ట్,NPK,ఎన్‌పీకే,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Rabi,రబీ,Sandy,మణల్,77,35,23,6.82,22,113,58,Bottle Gourd,సొరకాయ,Neem Cake,వేపపిండి,NPK,ఎన్‌పీకే,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Black,నల్ల మట్టి,16,59,61,5.59,20,279,79,Soybean,సోయాబీన్,Farmyard Manure,పశువుల ఎరువు,MOP,పొటాష్,Neem Oil,వేప నూనె,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Red,ఎర్ర మట్టి,60,72,59,7.39,26,294,76,Wheat,గోధుమ,Neem Cake,వేపపిండి,Urea,యూరియా,Neem Oil,వేప నూనె,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Sandy,మణల్,28,23,28,5.69,31,284,78,Gram,సెనగ,Vermicompost,వర్మి కంపోస్ట్,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Red,ఎర్ర మట్టి,114,17,101,5.69,28,138,31,Brinjal,వంకాయ,Farmyard Manure,పశువుల ఎరువు,DAP,డిఏపీ,Chili Spray,మిరప స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Rabi,రబీ,Clay,బంకమట్టి,33,115,36,5.72,33,63,34,Chilli,మిర్చి,Neem Cake,వేపపిండి,DAP,డిఏపీ,Chili Spray,మిరప స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Rabi,రబీ,Clay,బంకమట్టి,29,67,11,6.36,25,291,69,Watermelon,పుచ్చకాయ,Vermicompost,వర్మి కంపోస్ట్,MOP,పొటాష్,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Rabi,రబీ,Red,ఎర్ర మట్టి,63,43,76,7.71,32,64,49,Drumstick,మునగ,Compost,కంపోస్ట్,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Sandy,మణల్,40,84,109,8.26,33,234,35,Cauliflower,కాలీఫ్లవర్,Compost,కంపోస్ట్,Urea,యూరియా,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Red,ఎర్ర మట్టి,20,51,46,6.69,29,292,51,Cauliflower,కాలీఫ్లవర్,Farmyard Manure,పశువుల ఎరువు,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Sandy,మణల్,37,105,23,6.26,37,181,82,Potato,ఆలుగడ్డ,Farmyard Manure,పశువుల ఎరువు,Urea,యూరియా,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Rabi,రబీ,Red,ఎర్ర మట్టి,58,56,116,8.41,15,295,69,Mustard,ఆవాలు,Neem Cake,వేపపిండి,MOP,పొటాష్,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Rabi,రబీ,Sandy,మణల్,101,11,25,5.84,25,206,34,Banana,అరటి,Farmyard Manure,పశువుల ఎరువు,NPK,ఎన్‌పీకే,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Sandy,మణల్,92,38,66,5.63,33,238,57,Sorghum,జొన్న,Farmyard Manure,పశువుల ఎరువు,MOP,పొటాష్,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Loamy,లోమీ,102,58,84,7.92,31,139,70,Rice,వరి,Compost,కంపోస్ట్,MOP,పొటాష్,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Red,ఎర్ర మట్టి,51,53,92,7.17,25,121,49,Drumstick,మునగ,Vermicompost,వర్మి కంపోస్ట్,Urea,యూరియా,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Loamy,లోమీ,110,112,63,7.45,19,186,73,Onion,ఉల్లి,Vermicompost,వర్మి కంపోస్ట్,NPK,ఎన్‌పీకే,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Loamy,లోమీ,62,14,67,6.27,20,144,44,Coriander,కొత్తిమీర,Compost,కంపోస్ట్,MOP,పొటాష్,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Sandy,మణల్,56,116,50,5.95,16,143,86,Barley,యవ,Vermicompost,వర్మి కంపోస్ట్,DAP,డిఏపీ,Chili Spray,మిరప స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Rabi,రబీ,Loamy,లోమీ,23,32,68,7.44,20,172,48,Potato,ఆలుగడ్డ,Vermicompost,వర్మి కంపోస్ట్,Urea,యూరియా,Chili Spray,మిరప స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Black,నల్ల మట్టి,69,107,45,8.02,30,156,72,Beetroot,బీట్‌రూట్,Compost,కంపోస్ట్,MOP,పొటాష్,Neem Oil,వేప నూనె,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Red,ఎర్ర మట్టి,40,52,106,8.32,20,181,43,Mustard,ఆవాలు,Compost,కంపోస్ట్,Urea,యూరియా,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Rabi,రబీ,Sandy,మణల్,78,26,50,8.22,33,288,39,Onion,ఉల్లి,Farmyard Manure,పశువుల ఎరువు,NPK,ఎన్‌పీకే,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Black,నల్ల మట్టి,86,120,98,7.42,34,59,58,Carrot,గాజర్,Farmyard Manure,పశువుల ఎరువు,DAP,డిఏపీ,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Red,ఎర్ర మట్టి,96,74,116,6.52,39,287,86,Rice,వరి,Farmyard Manure,పశువుల ఎరువు,NPK,ఎన్‌పీకే,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Black,నల్ల మట్టి,101,92,88,6.79,40,176,67,Tomato,టమోటా,Vermicompost,వర్మి కంపోస్ట్,Urea,యూరియా,Neem Oil,వేప నూనె,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Loamy,లోమీ,53,48,85,7.88,40,126,58,Muskmelon,ఖర్బూజ,Vermicompost,వర్మి కంపోస్ట్,NPK,ఎన్‌పీకే,Chili Spray,మిరప స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Loamy,లోమీ,16,31,54,7.93,30,201,89,Apple,సేపు,Compost,కంపోస్ట్,Urea,యూరియా,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Loamy,లోమీ,116,103,38,5.91,15,249,61,Turmeric,పసుపు,Compost,కంపోస్ట్,NPK,ఎన్‌పీకే,Chili Spray,మిరప స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Clay,బంకమట్టి,18,111,24,8.39,20,204,44,Rice,వరి,Neem Cake,వేపపిండి,NPK,ఎన్‌పీకే,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Rabi,రబీ,Sandy,మణల్,83,90,113,7.19,15,88,35,Watermelon,పుచ్చకాయ,Neem Cake,వేపపిండి,MOP,పొటాష్,Garlic Spray,వెల్లుల్లి స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Rabi,రబీ,Red,ఎర్ర మట్టి,89,71,94,7.37,17,227,67,Sugarcane,చెరకు,Farmyard Manure,పశువుల ఎరువు,NPK,ఎన్‌పీకే,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Rabi,రబీ,Clay,బంకమట్టి,26,94,119,5.91,31,190,57,Cauliflower,కాలీఫ్లవర్,Vermicompost,వర్మి కంపోస్ట్,NPK,ఎన్‌పీకే,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Red,ఎర్ర మట్టి,75,80,113,7.05,40,287,44,Sorghum,జొన్న,Vermicompost,వర్మి కంపోస్ట్,NPK,ఎన్‌పీకే,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Loamy,లోమీ,69,58,89,6.57,36,217,83,Watermelon,పుచ్చకాయ,Vermicompost,వర్మి కంపోస్ట్,NPK,ఎన్‌పీకే,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Zaid,జైద్,Loamy,లోమీ,74,46,69,6.49,34,222,67,Cotton,పత్తి,Compost,కంపోస్ట్,MOP,పొటాష్,Garlic Spray,వెల్లుల్లి స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Clay,బంకమట్టి,45,27,98,6.41,28,61,43,Groundnut,వేరుశెనగ,Compost,కంపోస్ట్,DAP,డిఏపీ,Neem Oil,వేప నూనె,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Loamy,లోమీ,12,74,83,7.26,36,183,36,Ridge Gourd,బీరకాయ,Farmyard Manure,పశువుల ఎరువు,NPK,ఎన్‌పీకే,Chili Spray,మిరప స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Red,ఎర్ర మట్టి,87,82,91,7.59,30,87,34,Okra,బెండకాయ,Vermicompost,వర్మి కంపోస్ట్,NPK,ఎన్‌పీకే,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Kharif,ఖరీఫ్,Loamy,లోమీ,54,67,113,5.63,19,196,37,Gram,సెనగ,Compost,కంపోస్ట్,MOP,పొటాష్,Neem Oil,వేప నూనె,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Red,ఎర్ర మట్టి,97,83,97,8.27,33,252,63,Rice,వరి,Compost,కంపోస్ట్,NPK,ఎన్‌పీకే,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Red,ఎర్ర మట్టి,65,118,77,6.72,28,56,72,Ridge Gourd,బీరకాయ,Compost,కంపోస్ట్,Urea,యూరియా,Chili Spray,మిరప స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Zaid,జైద్,Loamy,లోమీ,92,47,69,6.44,18,101,71,Sugarcane,చెరకు,Neem Cake,వేపపిండి,NPK,ఎన్‌పీకే,Garlic Spray,వెల్లుల్లి స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Rabi,రబీ,Loamy,లోమీ,77,57,43,6.8,33,203,72,Fenugreek,మెంతికూర,Compost,కంపోస్ట్,DAP,డిఏపీ,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Loamy,లోమీ,99,64,88,5.7,21,158,38,Drumstick,మునగ,Vermicompost,వర్మి కంపోస్ట్,MOP,పొటాష్,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Rabi,రబీ,Black,నల్ల మట్టి,113,26,22,5.97,26,245,70,Onion,ఉల్లి,Neem Cake,వేపపిండి,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Red,ఎర్ర మట్టి,108,64,100,6.13,27,163,39,Pomegranate,దానిమ్మ,Neem Cake,వేపపిండి,NPK,ఎన్‌పీకే,Chili Spray,మిరప స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Zaid,జైద్,Red,ఎర్ర మట్టి,82,87,87,7.72,20,190,82,Beetroot,బీట్‌రూట్,Farmyard Manure,పశువుల ఎరువు,MOP,పొటాష్,Chili Spray,మిరప స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Red,ఎర్ర మట్టి,63,114,66,7.35,23,179,48,Apple,సేపు,Vermicompost,వర్మి కంపోస్ట్,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Red,ఎర్ర మట్టి,98,50,102,7.03,18,147,57,Garlic,వెల్లులి,Neem Cake,వేపపిండి,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Zaid,జైద్,Sandy,మణల్,118,97,55,8.5,17,69,87,Beetroot,బీట్‌రూట్,Compost,కంపోస్ట్,Urea,యూరియా,Chili Spray,మిరప స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Rabi,రబీ,Black,నల్ల మట్టి,42,83,19,6.57,28,139,79,Turmeric,పసుపు,Vermicompost,వర్మి కంపోస్ట్,DAP,డిఏపీ,Chili Spray,మిరప స్ప్రే,Chlorpyrifos,క్లోరోపైరిఫాస్
Rabi,రబీ,Loamy,లోమీ,23,77,115,7.97,16,160,45,Mango,మామిడి,Compost,కంపోస్ట్,Urea,యూరియా,Chili Spray,మిరప స్ప్రే,Imidacloprid,ఇమిడాక్లోప్రిడ్
Kharif,ఖరీఫ్,Sandy,మణల్,84,120,78,8.26,30,215,70,Wheat,గోధుమ,Compost,కంపోస్ట్,Urea,యూరియా,Garlic Spray,వెల్లుల్లి స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
Zaid,జైద్,Red,ఎర్ర మట్టి,36,115,16,7.68,31,133,79,Pea,బఠాణి,Farmyard Manure,పశువుల ఎరువు,DAP,డిఏపీ,Neem Oil,వేప నూనె,Cypermethrin,సైపర్‌మెత్రిన్
Kharif,ఖరీఫ్,Black,నల్ల మట్టి,26,82,16,8.24,36,254,63,Cucumber,దోసకాయ,Compost,కంపోస్ట్,DAP,డిఏపీ,Garlic Spray,వెల్లుల్లి స్ప్రే,Cypermethrin,సైపర్‌మెత్రిన్
